mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1.620612919330597,0.07915853709920445,0.12662094831466675,0.007227910662394644,0.9,0.3,0.2,5,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8609316626988227,0.8577020375859818,0.854731423894886,0.8649547921759483,0.8595799790889097,0.003799697884694977,33
2.7019875049591064,0.10245887481629865,0.21316981315612793,0.01679542252925598,0.9,0.3,0.2,5,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8578823784859232,0.8510244028954215,0.8541959918836225,0.8617094371906645,0.856203052613908,0.003999597235141193,59
3.731474280357361,0.1240650778590081,0.27339571714401245,0.00696216176088049,0.9,0.3,0.2,5,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8545479560485207,0.8482014886834853,0.8534889480807442,0.8582958843190097,0.85363356928294,0.003609075351933213,64
2.0625153183937073,0.057981374920666504,0.15555346012115479,0.0018054877689232187,0.9,0.3,0.2,7,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8567692707057751,0.8487998008282783,0.8525150135341675,0.8555920880964001,0.8534190432911553,0.0030862930105401854,67
3.418827772140503,0.17739372404107384,0.29936540126800537,0.03297594209983171,0.9,0.3,0.2,7,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8547376658688995,0.8430141562777783,0.8483905839985265,0.8498931535269962,0.8490088899180501,0.0041809068888538255,74
5.021504342556,0.11689976560229397,0.48479950428009033,0.010937962822213003,0.9,0.3,0.2,7,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8518506085062604,0.8426479141416728,0.8470524454846677,0.8467828738145425,0.8470834604867858,0.0032592593444336396,78
1.4692009091377258,0.0662871331537473,0.10775411128997803,0.008269655240684442,0.9,0.4,0.1,3,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8405449145735755,0.8417316045589327,0.8285192640538667,0.8466225588079039,0.8393545854985697,0.00665760335547578,80
2.6039148569107056,0.13425978805812616,0.17834413051605225,0.00765891347075156,0.9,0.4,0.1,3,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8612407771363499,0.8590760191088432,0.8553402707780998,0.8626357857724902,0.8595732131989459,0.002753412598712173,36
3.4580023884773254,0.07280161820524575,0.24033606052398682,0.02406796619711796,0.9,0.4,0.1,3,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8628007010809845,0.8617434659932658,0.8602726033090641,0.865076091140136,0.8624732153808626,0.001750531116635781,4
2.0298354029655457,0.08806584527365276,0.16195732355117798,0.0019195868275434075,0.9,0.4,0.1,5,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8597655807506299,0.8589046503187294,0.8557978505599229,0.8640274588400473,0.8596238851173325,0.002939701443764914,32
3.339674234390259,0.08802857809048041,0.2784123420715332,0.025015431248957685,0.9,0.4,0.1,5,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8636872892635891,0.8586367000045194,0.8598483281819328,0.8625663262722357,0.8611846609305692,0.00202793230812513,13
4.522454261779785,0.22854419641674126,0.3932238221168518,0.06725434387823283,0.9,0.4,0.1,5,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.862254993747871,0.856193758483103,0.8599699847550454,0.8626049130712303,0.8602559125143124,0.002554260140018886,22
2.5773709416389465,0.12197289426481434,0.2031337022781372,0.003489303924538349,0.9,0.4,0.1,7,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8611631299574309,0.8576085150435037,0.8558206399417264,0.8613336618037123,0.8589814866865934,0.00235416112554179,42
4.184230089187622,0.12477680209729529,0.3341270685195923,0.003851466230119246,0.9,0.4,0.1,7,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8613337546787835,0.8543217100328374,0.8584778217342864,0.8602563542408338,0.8585974101716852,0.0026709356861310193,45
5.644721627235413,0.165848274410874,0.46771836280822754,0.012623194234063696,0.9,0.4,0.1,7,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8596997573484253,0.8512272440057589,0.8571039220701302,0.8583009511054336,0.8565829686324369,0.0032257175340800613,57
1.778051495552063,0.07215359843125149,0.12243926525115967,0.005132623164696413,0.9,0.4,0.15,3,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8592048420799192,0.8572626414717278,0.8506542651554387,0.8617680918535728,0.8572224601401647,0.004115076114903347,52
2.684103786945343,0.12498060211843,0.17658787965774536,0.002815017368283306,0.9,0.4,0.15,3,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8626114741852124,0.860918433158341,0.8602570277352546,0.865720164053833,0.8623767747831603,0.002112665583235931,5
3.5185455083847046,0.13039917638447923,0.22866874933242798,0.003336489418877261,0.9,0.4,0.15,3,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8615711232258978,0.8578936078102948,0.8599091602923027,0.8640968694968058,0.8608676902063253,0.0022741131566803995,15
1.9649757742881775,0.011265318965553049,0.1583440899848938,0.002229496084876528,0.9,0.4,0.15,5,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8637381019838712,0.8609808894750162,0.8570834641663747,0.8655424725900288,0.8618362320538228,0.0031887984281746494,9
3.258253514766693,0.08960746211418386,0.2709704041481018,0.012702886912679347,0.9,0.4,0.15,5,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8622708896496598,0.8566249096967317,0.8588174141287507,0.8621389002949534,0.8599630284425239,0.002372557195650381,28
4.428879678249359,0.09750787259477695,0.36802321672439575,0.02104783820458129,0.9,0.4,0.15,5,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.858335122882574,0.853579256884739,0.8559642345436623,0.8601088016411226,0.8569968539880245,0.002460764856045853,54
2.4935896396636963,0.10905453171689969,0.20055478811264038,0.006228185463366609,0.9,0.4,0.15,7,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8613471015678732,0.8541002037111391,0.8572961696861976,0.8609622458075257,0.858426430193184,0.0029561125865089797,46
4.024460732936859,0.0681306179161976,0.32792025804519653,0.0036731507744027403,0.9,0.4,0.15,7,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8571030720683941,0.8475123306351744,0.85467978764342,0.8544597547737108,0.8534387362801749,0.0035753436159435344,66
5.619741082191467,0.22376050681952653,0.5062457919120789,0.04206077669057599,0.9,0.4,0.15,7,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8542170088034583,0.8468102357001043,0.8530315479173607,0.8520578697274167,0.8515291655370849,0.002829729720678831,71
1.8957940936088562,0.17808987660408562,0.11833906173706055,0.004190546713133961,0.9,0.4,0.2,3,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8601869092860494,0.8586811877117465,0.8564195329673698,0.8652177652392307,0.8601263488010991,0.0032309117566941712,26
2.594736158847809,0.04613994329705617,0.17139649391174316,0.002837920648491131,0.9,0.4,0.2,3,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8616477467513918,0.8587008082010102,0.8581004300381747,0.86400909881424,0.8606145209512043,0.002375587507945065,20
3.6595887541770935,0.07187076355572351,0.26322072744369507,0.022050169172232317,0.9,0.4,0.2,3,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8597803524891411,0.8582506191380589,0.8579114978335952,0.8611314492528456,0.8592684796784101,0.0012855066332383494,39
2.003208816051483,0.0585554321373197,0.15767687559127808,0.0019237986458898629,0.9,0.4,0.2,5,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8623115313637121,0.8576951855541475,0.8556643292728316,0.8653803505625723,0.8602628491883159,0.003811994259001412,21
3.243435025215149,0.10966135199865494,0.2843722105026245,0.01981055035702935,0.9,0.4,0.2,5,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8579390037365152,0.852296717549078,0.8548042117557297,0.8620428784069147,0.8567707028620595,0.0036415791135533475,55
4.389932096004486,0.021698798359372645,0.3534579277038574,0.001155575242867898,0.9,0.4,0.2,5,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8564825619633372,0.8482887306632335,0.8513645380828334,0.8573968092121491,0.8533831599803883,0.003733085762485768,68
2.460174798965454,0.06489497009555362,0.20091015100479126,0.0091914476454945,0.9,0.4,0.2,7,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8567907250102073,0.8497757126784491,0.8539795453655668,0.8567304081725632,0.8543190978066966,0.002858365048306786,62
4.1173577308654785,0.17046489462978356,0.3523935079574585,0.012908311343651807,0.9,0.4,0.2,7,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8517048537870104,0.8463595252804867,0.8504448274601257,0.8533286799720649,0.8504594716249219,0.002578425282404596,73
5.6063315868377686,0.15183240060235667,0.4776424765586853,0.01340281335432174,0.9,0.4,0.2,7,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8487106018365582,0.8431019341974323,0.8496422898504185,0.8497903776267045,0.8478113008777785,0.002750279174033331,76
1.7342792749404907,0.021284091974647184,0.1181824803352356,0.0018581522570835542,0.9,0.5,0.1,3,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.840538857299548,0.8417316045589327,0.8285197733335631,0.8466225588079039,0.8393531984999869,0.006657125924395441,81
2.571446716785431,0.02553567727004588,0.17145484685897827,0.0018044279519759722,0.9,0.5,0.1,3,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8612463602448063,0.8590785620719903,0.8553384530591853,0.8626349656333181,0.859574585252325,0.0027546149755926395,34
3.494262397289276,0.09139883260925777,0.23461085557937622,0.011643900228399586,0.9,0.5,0.1,3,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8633409098963442,0.861753665607657,0.8602729042437515,0.8650784132210456,0.8626114732421997,0.001790433578076878,2
1.957637906074524,0.03090079326840808,0.15873390436172485,0.003697033456590001,0.9,0.5,0.1,5,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8600787594567498,0.8588535862118424,0.8569652346411857,0.8640442697133716,0.8599854625057873,0.0025925634306756796,27
3.1497063040733337,0.04140461403795839,0.25816190242767334,0.006494712985423841,0.9,0.5,0.1,5,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8632017895555435,0.8580093061947826,0.861648543608281,0.862558246373682,0.8613544714330722,0.0020086231147818877,11
