mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.6444514393806458,0.14617476128113768,0.1807945966720581,0.004968594693683546,0.9,0.7,0.08,4,7,95,0.1,1.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8677928055070139,0.864929508151354,0.8633728240225419,0.8676808530014161,0.8659439976705815,0.0018758251363931704,381
2.5942243337631226,0.05725245305574234,0.18079185485839844,0.009318644309170232,0.9,0.7,0.08,4,7,95,0.1,2.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8675386120525262,0.8646929237692778,0.8646563179061243,0.8687589755693257,0.8664117073243134,0.0017899155985033755,223
2.6277981400489807,0.18094900059239857,0.19854497909545898,0.022109235764299597,0.9,0.7,0.08,4,7,95,0.1,2.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.867280917055653,0.864496214443754,0.8656662207669137,0.8678087118246739,0.8663130160227487,0.0013127309722294736,256
2.616420269012451,0.02405768744405406,0.1959347128868103,0.018360489484430295,0.9,0.7,0.08,4,7,95,0.1,2.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8669836272187035,0.8640093030558021,0.8642667784041596,0.8678918981009084,0.8657879016948934,0.00168328470478148,435
2.504811108112335,0.06457768548381196,0.18919891119003296,0.033314576532431736,0.9,0.7,0.08,4,10,90,0.0,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8679893746906076,0.8645564777455492,0.8653621378025489,0.8688935018925472,0.8667003730328131,0.0017929375340114378,114
2.619552493095398,0.14025611329296359,0.20431125164031982,0.010596636428153963,0.9,0.7,0.08,4,10,90,0.0,1.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8672471849971547,0.864697999655346,0.8648237359587336,0.8695909840867417,0.866589976174494,0.0020085536820516657,151
2.59029483795166,0.11597860390652359,0.20894545316696167,0.013953327359493747,0.9,0.7,0.08,4,10,90,0.0,1.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8671519990798808,0.8643446545015931,0.8639253178338882,0.8678406018894093,0.8658156433261929,0.0017046585048120818,426
2.588893711566925,0.03656591570993151,0.19274187088012695,0.0007907023044931009,0.9,0.7,0.08,4,10,90,0.0,2.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8674078856086412,0.8649922432473761,0.8633312365715059,0.8692076082074258,0.8662347434087372,0.002246572185425434,284
2.6421751976013184,0.07727479505414024,0.21121621131896973,0.018748675451927713,0.9,0.7,0.08,4,10,90,0.0,2.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8664027388878142,0.8649205537853915,0.8642090368216351,0.8683665855065698,0.8659747287503526,0.0015916284321348798,373
2.6589512825012207,0.08828636551366227,0.20068985223770142,0.010199329960229793,0.9,0.7,0.08,4,10,90,0.0,2.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8668663107554841,0.8637467326053588,0.86305657873149,0.8675253197387325,0.8652987354577664,0.0019268464854087272,531
